study_id,mext_code,school_name,yotsuya_deviation_value,establishment,school_type,area,prefecture,address,postal_code,study_url
B08C003,D208220400011,茨城県立古河中等教育学校,48,公立中高一貫,共学校,茨城県,茨城県,茨城県古河市磯部８４６,3060225,https://www.study1.jp/kanto/school/B08C003/
B13P032,C113311500013,光塩女子学院中等科,48,私立,女子校,東京23区,東京都,東京都杉並区高円寺南２－３３－２８,1660003,https://www.study1.jp/kanto/school/B13P032/
B13P128,C113311200187,サレジアン国際学園世田谷中学校,48,私立,共学校,東京23区,東京都,東京都世田谷区大蔵２－８－１,1570074,https://www.study1.jp/kanto/school/B13P128/
B11P018,C111320100029,城西川越中学校,48,私立,男子校,埼玉県,埼玉県,埼玉県川越市山田東町１０４２,3500822,https://www.study1.jp/kanto/school/B11P018/
B13P081,C113311000054,多摩大学目黒中学校,48,私立,共学校,東京23区,東京都,東京都目黒区下目黒４－１０－２４,1530064,https://www.study1.jp/kanto/school/B13P081/
B14P026,C113321000026,東京電機大学中学校,48,私立,共学校,東京23区外,東京都,東京都小金井市梶野町４－８－１,1848555,https://www.study1.jp/kanto/school/B14P026/
B14P031,C113320100081,八王子学園八王子中学校,48,私立,共学校,東京23区外,東京都,東京都八王子市台町４－３５－１,1930931,https://www.study1.jp/kanto/school/B14P031/
B14P039,C113321300023,明治学院中学校,48,私立,共学校,東京23区外,東京都,東京都東村山市富士見町１－１２－３,1890024,https://www.study1.jp/kanto/school/B14P039/
B12P022,C112310000119,八千代松陰中学校,48,私立,共学校,千葉県,千葉県,千葉県八千代市村上７２７番地,2760028,https://www.study1.jp/kanto/school/B12P022/
B15P058,C114310000064,横浜創英中学校,48,私立,共学校,神奈川県,神奈川県,神奈川県横浜市神奈川区西大口２８,2210004,https://www.study1.jp/kanto/school/B15P058/
B08N001,C108110000011,茨城大学教育学部附属中学校,47,国立,共学校,茨城県,茨城県,茨城県水戸市文京１－３－３２,3100056,https://www.study1.jp/kanto/school/B08N001/
B13P106,C113310700022,日本大学第一中学校,47,私立,共学校,東京23区,東京都,東京都墨田区横網１－５－２,1300015,https://www.study1.jp/kanto/school/B13P106/
B14P001,C113320100018,穎明館中学校,46,私立,共学校,東京23区外,東京都,東京都八王子市館町２６００,1930944,https://www.study1.jp/kanto/school/B14P001/
B11P007,C111321000019,開智未来中学校,46,私立,共学校,埼玉県,埼玉県,埼玉県加須市麦倉１２３８番地,3491212,https://www.study1.jp/kanto/school/B11P007/
B11P008,C111321400015,春日部共栄中学校,46,私立,共学校,埼玉県,埼玉県,埼玉県春日部市上大増新田２１３,3440037,https://www.study1.jp/kanto/school/B11P008/
B15P005,C114310000055,神奈川学園中学校,46,私立,女子校,神奈川県,神奈川県,神奈川県横浜市神奈川区沢渡１８,2210844,https://www.study1.jp/kanto/school/B15P005/
B15P008,C114320400032,鎌倉女学院中学校,46,私立,女子校,神奈川県,神奈川県,神奈川県鎌倉市由比ガ浜２－１０－４,2480014,https://www.study1.jp/kanto/school/B15P008/
B13P028,C113310500042,京華中学校,46,私立,男子校,東京23区,東京都,東京都文京区白山５－６－６,1128612,https://www.study1.jp/kanto/school/B13P028/
B11N001,C111110000016,埼玉大学教育学部附属中学校,46,国立,共学校,埼玉県,埼玉県,埼玉県さいたま市南区別所４－２－５,3360021,https://www.study1.jp/kanto/school/B11N001/
B13P042,C113311700011,桜丘中学校,46,私立,共学校,東京23区,東京都,東京都北区滝野川１－５１－１２,1148554,https://www.study1.jp/kanto/school/B13P042/
B13P055,C113311400050,実践学園中学校,46,私立,共学校,東京23区,東京都,東京都中野区中央２－３４－２,1640011,https://www.study1.jp/kanto/school/B13P055/
B13P057,C113311600030,十文字中学校,46,私立,女子校,東京23区,東京都,東京都豊島区北大塚１－１０－３３,1700004,https://www.study1.jp/kanto/school/B13P057/
B13P067,C113311700020,聖学院中学校,46,私立,男子校,東京23区,東京都,東京都北区中里３－１２－１,1148502,https://www.study1.jp/kanto/school/B13P067/
B14P018,C113321100025,創価中学校,46,私立,共学校,東京23区外,東京都,東京都小平市小川町１－８６０,1870032,https://www.study1.jp/kanto/school/B14P018/
B12P019,C112310000084,成田高等学校付属中学校,46,私立,共学校,千葉県,千葉県,千葉県成田市成田２７,2860023,https://www.study1.jp/kanto/school/B12P019/
B13P107,C113311500068,日本大学第二中学校,46,私立,共学校,東京23区,東京都,東京都杉並区天沼１－４５－３３,1670032,https://www.study1.jp/kanto/school/B13P107/
B11P002,C111310800014,浦和実業学園中学校,45,私立,共学校,埼玉県,埼玉県,埼玉県さいたま市南区文蔵３－９－１,3360025,https://www.study1.jp/kanto/school/B11P002/
B13P036,C113311200061,佼成学園女子中学校,45,私立,女子校,東京23区,東京都,東京都世田谷区給田２－１－１,1570064,https://www.study1.jp/kanto/school/B13P036/
B11P016,C111346400012,昌平中学校,45,私立,共学校,埼玉県,埼玉県,埼玉県北葛飾郡杉戸町下野８５１,3450044,https://www.study1.jp/kanto/school/B11P016/
B13P013,C113310900011,品川翔英中学校,45,私立,共学校,東京23区,東京都,東京都品川区西大井１－６－１３,1400015,https://www.study1.jp/kanto/school/B13P013/
B13P063,C113311500031,女子美術大学付属中学校,45,私立,女子校,東京23区,東京都,東京都杉並区和田１－４９－８,1668538,https://www.study1.jp/kanto/school/B13P063/
B15P025,C114321300013,聖セシリア女子中学校,45,私立,女子校,神奈川県,神奈川県,神奈川県大和市南林間３－１０－１,2420006,https://www.study1.jp/kanto/school/B15P025/
